50,0.01,37.08
77.5,0.03,37.3
87.5,0.05,37.38
95,0.06,37.44
62.5,0.02,37.18
80,0.04,37.32
80,0.04,37.32
85,0.05,37.36
92.5,0.05,37.42
57.5,0.01,37.14
57.5,0.01,37.14
70,0.02,37.24
50,0.01,37.08
75,0.03,37.28
70,0.02,37.24
60,0.02,37.16
115,0.08,37.6
90,0.05,37.4
102.5,0.06,37.5
82.5,0.04,37.34
80,0.04,37.32
120,0.1,37.64
95,0.06,37.44
97.5,0.06,37.46
82.5,0.04,37.34
120,0.1,37.64
105,0.07,37.52
52.5,0.01,37.1
102.5,0.06,37.5
55,0.01,37.12
87.5,0.05,37.38
100,0.06,37.48
97.5,0.06,37.46
115,0.08,37.6
105,0.07,37.52
60,0.02,37.16
55,0.01,37.12
102.5,0.06,37.5
62.5,0.02,37.18
97.5,0.06,37.46
115,0.08,37.6
67.5,0.02,37.22
75,0.03,37.28
85,0.05,37.36
90,0.05,37.4
55,0.01,37.12
50,0.01,37.08
87.5,0.05,37.38
77.5,0.03,37.3
67.5,0.02,37.22
95,0.06,37.44
65,0.02,37.2
117.5,0.09,37.62
72.5,0.03,37.26
90,0.05,37.4
117.5,0.09,37.62
112.5,0.08,37.58
52.5,0.01,37.1
107.5,0.07,37.54
70,0.02,37.24
75,0.03,37.28
105,0.07,37.52
92.5,0.05,37.42
57.5,0.01,37.14
72.5,0.03,37.26
117.5,0.09,37.62
107.5,0.07,37.54
92.5,0.05,37.42
65,0.02,37.2
110,0.07,37.56
107.5,0.07,37.54
67.5,0.02,37.22
72.5,0.03,37.26
65,0.02,37.2
77.5,0.03,37.3
112.5,0.08,37.58
82.5,0.04,37.34
110,0.07,37.56
100,0.06,37.48
120,0.1,37.64
110,0.07,37.56
62.5,0.02,37.18
85,0.05,37.36
60,0.02,37.16
100,0.06,37.48
52.5,0.01,37.1
112.5,0.08,37.58
